account_no,date,transaction_details,value_date,transaction_type,amount,balance
2409000611074,2017-06-29 00:00:00,TRF FROM  Indiaforensic SERVICES,2017-06-29 00:00:00,deposit,10000000000,1000000
2409000611074,2017-07-05 00:00:00,TRF FROM  Indiaforensic SERVICES,2017-07-05 00:00:00,deposit,10000000000,2000000
2409000611074,2017-07-18 00:00:00,FDRL/INTERNAL FUND TRANSFE,2017-07-18 00:00:00,deposit,5000000000,2500000
